;idequipos;modelo;area;marca;nombre_sede;categoria;fecha_registro;fecha_mant;observaciones
26;976;HKN-9010;Sala de Partos;Ningbo David;Puerto Santander;Lampara Calor Radiante;5/02/2020;21/05/2021 11:55;Funciona correctamente
27;1038;HKN-9010;Quirofanos;Ningbo David;Tibú;Lampara Calor Radiante;26/02/2020;21/06/2020 17:16;Funcionando correctamente
28;1038;HKN-9010;Quirofanos;Ningbo David;Tibú;Lampara Calor Radiante;26/02/2020;26/10/2020 8:22;Funciona correctamente
29;1763;HKN-9010;Sala de Partos;Ningbo David;El Tarra;Lampara Calor Radiante;9/06/2020;17/03/2021 16:49;Funciona correctamente
30;1764;HKN-9010;Sala de Partos;Ningbo David;El Tarra;Lampara Calor Radiante;9/06/2020;17/03/2021 16:51;Funciona correctamente
31;2460;HKN-9010;Sala de Partos;Ningbo David;Sardinata;Lampara Calor Radiante;27/10/2020;11/12/2020 13:56;Funcionando correctamente
32;2460;HKN-9010;Sala de Partos;Ningbo David;Sardinata;Lampara Calor Radiante;27/10/2020;29/04/2021 9:43;Funciona correctamente
33;3257;HKN-9010;Sala de Partos;Ningbo David;CHITAGÁ;Lampara Calor Radiante;4/03/2021;31/03/2021 14:53;Equipo funcionando correctamente 
34;3257;HKN-9010;Sala de Partos;Ningbo David;CHITAGÁ;Lampara Calor Radiante;4/03/2021;2/06/2021 9:14;Equipo funcionando correctamente 
35;677;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;2/02/2020 18:25;Funciona correctamente 
36;677;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;21/06/2020 15:55;Sin sensor de piel 
"Funciona correctamente""";;;;;;;;;
37;677;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;22/10/2020 16:20;No posee sensor de piel
"Funciona Correctamente.""";;;;;;;;;
38;677;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;26/02/2021 12:25;Funciona correctamente
39;677;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;27/06/2021 11:43;Funciona correctamente
40;741;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;2/02/2020 19:08;Funciona correctamente 
41;741;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;21/06/2020 15:44;Funcionando correctamente
42;741;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;22/10/2020 16:26;No posee sensor de Piel
"Funciona Correctamente.""";;;;;;;;;
43;741;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;26/02/2021 12:30;Falta sensor de piel
44;741;TI-2000;Sala de Partos;Ningbo David;Tibú;Incubadora de Transporte;24/01/2020;27/06/2021 11:57;Funciona correctamente
45;2474;TI-2000;Sala de Partos;Ningbo David;Sardinata;Incubadora de Transporte;27/10/2020;11/12/2020 13:57;Funcionando correctamente
46;2474;TI-2000;Sala de Partos;Ningbo David;Sardinata;Incubadora de Transporte;27/10/2020;29/04/2021 9:41;Funciona correctamente
47;3022;TI-2000;Sala de Partos;Ningbo David;Santiago;Incubadora de Transporte;2/03/2021;29/04/2021 11:45;Funciona correctamente 
48;3202;TI-2000;Sala de Partos;Ningbo David;Salazar;Incubadora de Transporte;2/03/2021;7/05/2021 18:55;Funciona correctamente
49;42;HKN90;Sala de Partos;Ningbo David;Las Mercedes;Lampara Calor Radiante;5/06/2019;11/12/2020 21:16;Funcionando correctamente
50;42;HKN90;Sala de Partos;Ningbo David;Las Mercedes;Lampara Calor Radiante;5/06/2019;28/04/2021 11:00;Funciona correctamente
51;98;HKN90;Sala de Partos;Ningbo David;Bucarasica;Lampara Calor Radiante;21/06/2019;11/12/2020 1:20;Bombillo de iluminación al paciente quemado, todas las demás funciones trabajan correctamente.
52;98;HKN90;Sala de Partos;Ningbo David;Bucarasica;Lampara Calor Radiante;21/06/2019;27/04/2021 11:08;Funciona Correctamente
53;840;HKN90;Sala de Partos;Ningbo David;La Gabarra;Lampara Calor Radiante;29/01/2020;28/01/2021 9:15;Funciona correctamente
54;840;HKN90;Sala de Partos;Ningbo David;La Gabarra;Lampara Calor Radiante;29/01/2020;26/05/2021 9:18;Funciona correctamente
55;2145;HKN90;Sala de Partos;Ningbo David;Campo Dos;Lampara Calor Radiante;23/09/2020;19/03/2021 10:20;Funciona correctamente
56;2145;HKN90;Sala de Partos;Ningbo David;Campo Dos;Lampara Calor Radiante;23/09/2020;21/07/2021 15:19;Funciona correctamente
57;259;YP-90A;Recién Nacido;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;20/04/2020 7:06;Equipo funcionando correctamente
58;259;YP-90A;Recién Nacido;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;22/07/2020 9:08;Equipo funcionando correctamente
59;259;YP-90A;Recién Nacido;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;29/10/2020 12:09;Equipo funcionando correctamente
60;259;YP-90A;Recién Nacido;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;28/01/2021 9:19;Equipo funcionando correctamente
61;259;YP-90A;Recién Nacido;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;27/07/2021 14:33;Se realiza ajuste de la puerta 
62;264;YP-90A;Sala Incubadoras;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;23/04/2020 16:09;Equipo funcionando correctamente
63;264;YP-90A;Sala Incubadoras;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;21/07/2020 8:54;Equipo funcionando correctamente
64;264;YP-90A;Sala Incubadoras;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;21/10/2020 9:12;Equipo funcionando correctamente
65;264;YP-90A;Sala Incubadoras;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;28/01/2021 15:25;Equipo en buen estado 
66;264;YP-90A;Sala Incubadoras;Ningbo David;Pamplona;Incubadora Neonatal;11/12/2019;16/07/2021 14:35;Equipo funcionando correctamente
67;980;YP-90A;Sala de Partos;Ningbo David;Puerto Santander;Incubadora Neonatal;5/02/2020;30/01/2020 15:41;Funciona correctamente 
68;980;YP-90A;Sala de Partos;Ningbo David;Puerto Santander;Incubadora Neonatal;5/02/2020;29/05/2020 15:18;Funciona correctamente 
69;980;YP-90A;Sala de Partos;Ningbo David;Puerto Santander;Incubadora Neonatal;5/02/2020;25/09/2020 11:07;Funciona correctamente
70;980;YP-90A;Sala de Partos;Ningbo David;Puerto Santander;Incubadora Neonatal;5/02/2020;19/01/2021 11:55;Protector de ruedas partidas, equipo funcionando correctamente
71;980;YP-90A;Sala de Partos;Ningbo David;Puerto Santander;Incubadora Neonatal;5/02/2020;21/05/2021 12:06;Funciona correctamente
72;1039;YP-90A;Quirofanos;Ningbo David;Tibú;Incubadora Neonatal;26/02/2020;21/06/2020 17:30;Funcionando correctamente
73;1039;YP-90A;Quirofanos;Ningbo David;Tibú;Incubadora Neonatal;26/02/2020;26/10/2020 14:35;Funciona correctamente 
74;1765;YP-90A;Sala de Partos;Ningbo David;El Tarra;Incubadora Neonatal;9/06/2020;17/03/2021 17:02;Funciona
75;1872;XHZ-90L;Sala Incubadoras;Ningbo David;Pamplona;Lampara de Fototerapia;15/07/2020;21/07/2020 8:58;Equipo funcionando correctamente
76;1872;XHZ-90L;Sala Incubadoras;Ningbo David;Pamplona;Lampara de Fototerapia;15/07/2020;21/10/2020 9:23;Equipo funcionando correctamente
77;1872;XHZ-90L;Sala Incubadoras;Ningbo David;Pamplona;Lampara de Fototerapia;15/07/2020;28/01/2021 15:49;Equipo funcionando correctamente 
78;1872;XHZ-90L;Sala Incubadoras;Ningbo David;Pamplona;Lampara de Fototerapia;15/07/2020;19/07/2021 16:14;Equipo funcionando correctamente 
79;1873;XHZ-90L;Sala Incubadoras;Ningbo David;Pamplona;Lampara de Fototerapia;15/07/2020;21/07/2020 8:59;Equipo funcionando correctamente
80;1873;XHZ-90L;Sala Incubadoras;Ningbo David;Pamplona;Lampara de Fototerapia;15/07/2020;21/10/2020 9:24;Equipo funcionando correctamente
81;1873;XHZ-90L;Sala Incubadoras;Ningbo David;Pamplona;Lampara de Fototerapia;15/07/2020;28/01/2021 15:50;Equipo funcionando 
82;1873;XHZ-90L;Sala Incubadoras;Ningbo David;Pamplona;Lampara de Fototerapia;15/07/2020;19/07/2021 16:11;Equipo en funcionamiento 
83;5795;XHZ-90L;Sala De Monitoreo Fetal;Ningbo David;Pamplona;Lampara de Fototerapia;13/05/2021;19/07/2021 16:13;Equipo funcionando correctamente 
84;5796;XHZ-90L;Sala De Monitoreo Fetal;Ningbo David;Pamplona;Lampara de Fototerapia;13/05/2021;19/07/2021 16:14;Equipo funcionando correctamente 
85;6118;XHZ-90L;Sala Incubadoras;Ningbo David;Pamplona;Lampara de Fototerapia;13/05/2021;19/07/2021 16:14;Equipo funcionando correctamente 
86;103;Genérico;Ambulancia;Genérico;Bucarasica;Aspirador de Secreciones;21/06/2019;11/12/2020 1:14;Funciona correctamente
87;103;Genérico;Ambulancia;Genérico;Bucarasica;Aspirador de Secreciones;21/06/2019;27/04/2021 11:23;Funciona Correctamente
88;1699;Genérico;OET-472;Genérico;Puerto Santander;Aspirador de Secreciones;8/06/2020;25/09/2020 12:05;Funciona correctamente
89;1699;Genérico;OET-472;Genérico;Puerto Santander;Aspirador de Secreciones;8/06/2020;22/05/2021 19:37;Funciona correctamente
90;2033;Genérico;OWG-896;Genérico;Pamplona;Aspirador de Secreciones;19/08/2020;20/08/2020 12:09;Filtro hidrofobico requiere ser cambiado
"Equipo funcionando""";;;;;;;;;
91;2033;Genérico;OWG-896;Genérico;Pamplona;Aspirador de Secreciones;19/08/2020;23/11/2020 12:42;Equipo funcionando correctamente
92;2033;Genérico;OWG-896;Genérico;Pamplona;Aspirador de Secreciones;19/08/2020;20/05/2021 17:20;Equipo funcionando correctamente
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
"Funciona correctamente """;;;;;;;;;
223;1004;Genérico;Odontología;Genérico;Puerto Santander;Unidad Odontológica Portátil;12/02/2020;25/09/2020 15:23;Funciona correctamente
224;1004;Genérico;Odontología;Genérico;Puerto Santander;Unidad Odontológica Portátil;12/02/2020;19/01/2021 13:48;Funciona correctamente
225;1004;Genérico;Odontología;Genérico;Puerto Santander;Unidad Odontológica Portátil;12/02/2020;21/05/2021 14:24;Funciona correctamente
226;1155;Genérico;Odontología;Genérico;Bucarasica;Unidad Odontológica Portátil;18/03/2020;11/12/2020 6:02;Funciona correctamente
227;1155;Genérico;Odontología;Genérico;Bucarasica;Unidad Odontológica Portátil;18/03/2020;27/04/2021 12:46;Funciona Correctamente
228;1219;Genérico;Odontología;Genérico;PAMPLONITA;Unidad Odontológica Portátil;25/03/2020;25/08/2020 18:20;Se encuentra en préstamo en Pamplona
229;1219;Genérico;Odontología;Genérico;PAMPLONITA;Unidad Odontológica Portátil;25/03/2020;22/07/2021 21:44;Equipo funcionando correctamente 
230;2542;Genérico;Odontología;Genérico;El Tarra;Unidad Odontológica Portátil;11/11/2020;17/03/2021 12:04;Funciona correctamente
231;2127;Genérico;Laboratorio;Genérico;Pamplona;Termómetro Infrarrojo;21/09/2020;21/09/2020 12:00;Funcionando correctamente
232;388;Pediátrico;Estación Enfermería;Genérico;Pamplona;Tensiómetro;16/12/2019;16/05/2020 11:44;Equipo funcionando correctamente
233;388;Pediátrico;Estación Enfermería;Genérico;Pamplona;Tensiómetro;16/12/2019;18/08/2020 17:47;Equipo no se encuentra en el servicio
234;388;Pediátrico;Estación Enfermería;Genérico;Pamplona;Tensiómetro;16/12/2019;23/11/2020 9:25;No se encuentra en el servicio
235;388;Pediátrico;Estación Enfermería;Genérico;Pamplona;Tensiómetro;16/12/2019;20/05/2021 11:33;Equipo funcionando correctamente
236;1121;Pediátrico;OES-107;Genérico;Tibú;Tensiómetro;16/03/2020;23/06/2020 17:50;Funciona correctamente
237;1668;Pediátrico;Extramural;Genérico;Puerto Santander;Tensiómetro;5/06/2020;5/06/2020 14:54;Funciona correctamente 
238;1668;Pediátrico;Extramural;Genérico;Puerto Santander;Tensiómetro;5/06/2020;25/09/2020 9:54;Funciona correctamente
239;1668;Pediátrico;Extramural;Genérico;Puerto Santander;Tensiómetro;5/06/2020;22/05/2021 19:33;Funciona correctamente
240;6674;Pediátrico;OES 117;Genérico;Puerto Santander;Tensiómetro;22/05/2021;22/05/2021 19:42;Funciona correctamente
241;647;MADERA;COVID-19;Genérico;Tibú;Tallímetro;24/01/2020;1/02/2020 20:20;Funciona correctamente 
242;647;MADERA;COVID-19;Genérico;Tibú;Tallímetro;24/01/2020;23/06/2020 12:59;Funciona correctamente
243;647;MADERA;COVID-19;Genérico;Tibú;Tallímetro;24/01/2020;26/10/2020 7:57;Funciona correctamente 
244;647;MADERA;COVID-19;Genérico;Tibú;Tallímetro;24/01/2020;27/02/2021 8:33;Funciona correctamente
245;647;MADERA;COVID-19;Genérico;Tibú;Tallímetro;24/01/2020;27/06/2021 12:30;Funciona correctamente
246;687;MADERA;Consultorio 1;Genérico;Tibú;Tallímetro;24/01/2020;1/02/2020 18:28;Funciona correctamente 
247;687;MADERA;Consultorio 1;Genérico;Tibú;Tallímetro;24/01/2020;23/06/2020 13:54;Funciona correctamente
248;687;MADERA;Consultorio 1;Genérico;Tibú;Tallímetro;24/01/2020;23/10/2020 16:42;Funciona correctamente
249;687;MADERA;Consultorio 1;Genérico;Tibú;Tallímetro;24/01/2020;28/06/2021 11:35;Funciona correctamente
250;699;MADERA;Consultorio 2;Genérico;Tibú;Tallímetro;24/01/2020;2/02/2020 17:16;Funciona correctamente 
251;699;MADERA;Consultorio 2;Genérico;Tibú;Tallímetro;24/01/2020;23/06/2020 15:15;Funciona correctamente
252;699;MADERA;Consultorio 2;Genérico;Tibú;Tallímetro;24/01/2020;26/10/2020 8:02;Funciona correctamente 
253;699;MADERA;Consultorio 2;Genérico;Tibú;Tallímetro;24/01/2020;28/06/2021 11:37;Funciona correctamente
254;702;MADERA;Consultorio 3;Genérico;Tibú;Tallímetro;24/01/2020;1/02/2020 19:19;Funciona correctamente 
255;702;MADERA;Consultorio 3;Genérico;Tibú;Tallímetro;24/01/2020;22/06/2020 18:35;Funcionando correctamente
256;702;MADERA;Consultorio 3;Genérico;Tibú;Tallímetro;24/01/2020;23/10/2020 16:56;Funciona correctamente
257;702;MADERA;Consultorio 3;Genérico;Tibú;Tallímetro;24/01/2020;28/06/2021 11:31;Funciona correctamente
258;2950;MADERA;Enfermería;Genérico;San Cayetano;Tallímetro;1/03/2021;26/07/2021 12:59;Funciona correctamente
259;2956;Genérico;Odontología;Genérico;San Cayetano;Unidad Odontología;1/03/2021;26/07/2021 14:29;Se realiza ajuste de holder, motor de movimiento arriba, abajo requiere reparación, equipo funcional
260;1265;Genérico;Sala de Partos;Genérico;PAMPLONITA;Balanza Electrónica;25/03/2020;25/08/2020 18:27;Funcionando correctamente
261;1265;Genérico;Sala de Partos;Genérico;PAMPLONITA;Balanza Electrónica;25/03/2020;29/01/2021 10:57;equipo funcionando correctamente
262;1265;Genérico;Sala de Partos;Genérico;PAMPLONITA;Balanza Electrónica;25/03/2020;29/07/2021 11:08;El equipo funciona correctamente 
263;3440;Genérico;P Y P;Genérico;Arboledas;Balanza Electrónica;22/03/2021;11/03/2021 14:30;Funciona correctamente
264;3478;Genérico;Consulta Externa;Genérico;Villa Sucre;Balanza Electrónica;25/03/2021;25/03/2021 12:13;Funciona correctamente
265;851;Genérico;Fisioterapia;Genérico;Tibú;Hidrocolector;31/01/2020;2/02/2020 9:30;Funciona correctamente 
266;851;Genérico;Fisioterapia;Genérico;Tibú;Hidrocolector;31/01/2020;28/06/2021 11:32;Funciona correctamente
267;1162;Adulto;Urgencias;Genérico;SILOS;Tensiómetro;24/03/2020;29/03/2021 14:18;Equipo funcionando correctamente 
268;1162;Adulto;Urgencias;Genérico;SILOS;Tensiómetro;24/03/2020;15/06/2021 15:05;Equipo en funcionamiento 
269;2376;Adulto;OET-472;Genérico;Puerto Santander;Tensiómetro;2/10/2020;25/09/2020 12:08;Funciona correctamente
270;2376;Adulto;OET-472;Genérico;Puerto Santander;Tensiómetro;2/10/2020;22/05/2021 19:38;Funciona correctamente
271;2830;Adulto;OES 084;Genérico;San Vicente De Paul Gramalote;Tensiómetro;28/02/2021;23/04/2021 9:16;Funciona correctamente
272;2929;Adulto;Consultorio Médico;Genérico;Carmen de Nazareth;Tensiómetro;1/03/2021;23/02/2021 7:44;Funciona correctamente
273;6673;Adulto;OES 117;Genérico;Puerto Santander;Tensiómetro;22/05/2021;22/05/2021 19:41;Funciona correctamente
274;368;Madera ;Feria;Genérico;Pamplona;Tallímetro;16/12/2019;19/05/2020 19:31;Funcionando correctamente
275;368;Madera ;Feria;Genérico;Pamplona;Tallímetro;16/12/2019;22/08/2020 10:54;Funcionando correctamente
276;368;Madera ;Feria;Genérico;Pamplona;Tallímetro;16/12/2019;23/11/2020 9:53;Equipo funcionando 
277;375;Madera ;Feria;Genérico;Pamplona;Tallímetro;16/12/2019;14/06/2020 17:23;Equipo funcionando correctamente
278;375;Madera ;Feria;Genérico;Pamplona;Tallímetro;16/12/2019;22/08/2020 11:23;Equipo guardado por contingencia covid19
279;375;Madera ;Feria;Genérico;Pamplona;Tallímetro;16/12/2019;23/11/2020 11:00;Equipo guardado temporalmente
280;378;Madera ;Consultorio 19;Genérico;Pamplona;Tallímetro;16/12/2019;14/06/2020 18:10;Equipo funcionando correctamente
281;378;Madera ;Consultorio 19;Genérico;Pamplona;Tallímetro;16/12/2019;22/08/2020 11:50;Equipo guardado por contingencia covid19
282;378;Madera ;Consultorio 19;Genérico;Pamplona;Tallímetro;16/12/2019;23/11/2020 11:14;Equipo guardado temporalmente
283;495;Madera ;Toma De Tensión Arterial;Genérico;CHITAGÁ;Tallímetro;16/12/2019;31/03/2021 17:05;Equipo funcionando correctamente 
284;495;Madera ;Toma De Tensión Arterial;Genérico;CHITAGÁ;Tallímetro;16/12/2019;2/06/2021 12:05;Equipo funcionando correctamente 
285;1177;Madera ;Enfermería;Genérico;SILOS;Tallímetro;24/03/2020;29/03/2021 15:30;Equipo funcionando correctamente 
286;1177;Madera ;Enfermería;Genérico;SILOS;Tallímetro;24/03/2020;24/06/2021 9:18;Equipo en funcionamiento 
287;1184;Madera ;Enfermería;Genérico;MUTISCUA;Tallímetro;24/03/2020;30/03/2021 16:58;Equipo funcionando correctamente 
288;1184;Madera ;Enfermería;Genérico;MUTISCUA;Tallímetro;24/03/2020;4/06/2021 11:41;Equipo en buen estado 
289;1779;Madera ;Consultorio 3;Genérico;El Tarra;Tallímetro;9/06/2020;16/03/2021 19:58;Funciona correctamente
290;1779;Madera ;Consultorio 3;Genérico;El Tarra;Tallímetro;9/06/2020;16/03/2021 20:23;Funciona correctamente
291;6113;Madera ;Enfermería;Genérico;CÁCOTA;Tallímetro;13/05/2021;2/06/2021 15:58;Equipo en buen estado 
292;6286;Madera ;Sala Incubadoras;Genérico;Pamplona;Tallímetro;18/05/2021;16/07/2021 14:31;Equipo en buen estado
293;1260;Genérico;Vacunación;Genérico;PAMPLONITA;Termómetro;25/03/2020;29/01/2021 10:08;equipo funcionando correctamente
294;1260;Genérico;Vacunación;Genérico;PAMPLONITA;Termómetro;25/03/2020;29/07/2021 11:27;El equipo funciona correctamente 
295;1261;Genérico;Vacunación;Genérico;PAMPLONITA;Termómetro;25/03/2020;29/07/2021 11:27;El equipo funciona correctamente 
296;1367;Genérico;Carro De Paro;Genérico;Pamplona;Termómetro;13/04/2020;15/05/2021 11:01;Equipo en funcionamiento 
297;2414;Genérico;Vacunación;Genérico;Petrolea;Termómetro;19/10/2020;21/07/2021 16:33;Funciona correctamente
298;6441;Genérico;Urgencias;Genérico;CHITAGÁ;Termómetro;19/05/2021;2/06/2021 9:27;Equipo funcionando correctamente 
299;6442;Genérico;Vacunación;Genérico;PAMPLONITA;Termómetro;19/05/2021;29/07/2021 11:30;El equipo funciona correctamente 
300;6443;Genérico;Vacunación;Genérico;PAMPLONITA;Termómetro;19/05/2021;29/07/2021 11:30;El equipo funciona correctamente 
301;1655;3500 lb/in2;2212;Genérico;Seccional Cúcuta;Regulador De Oxigeno;3/06/2020;11/06/2020 15:53;Funciona correctamente
302;1655;3500 lb/in2;2212;Genérico;Seccional Cúcuta;Regulador De Oxigeno;3/06/2020;22/12/2020 9:36;Funciona correctamente 
303;1655;3500 lb/in2;2212;Genérico;Seccional Cúcuta;Regulador De Oxigeno;3/06/2020;29/06/2021 13:49;Funciona correctamente
304;1666;3500 lb/in2;2213;Genérico;Seccional Cúcuta;Regulador De Oxigeno;3/06/2020;11/06/2020 16:30;Funciona correctamente
305;1666;3500 lb/in2;2213;Genérico;Seccional Cúcuta;Regulador De Oxigeno;3/06/2020;22/12/2020 15:01;Funciona correctamente
306;1666;3500 lb/in2;2213;Genérico;Seccional Cúcuta;Regulador De Oxigeno;3/06/2020;29/06/2021 11:10;Funciona correctamente
307;1688;3500 lb/in2;2211;Genérico;Seccional Ocaña;Regulador De Oxigeno;5/06/2020;29/12/2020 9:46;Funciona correctamente
308;1688;3500 lb/in2;2211;Genérico;Seccional Ocaña;Regulador De Oxigeno;5/06/2020;30/06/2021 15:41;Funciona correctamente
309;2845;adulto;Enfermería;Genérico;Villa Caro;Fonendoscopio;1/03/2021;24/02/2021 16:42;Funciona correctamente
310;3133;adulto;Enfermería;Genérico;Lourdes;Fonendoscopio;2/03/2021;23/04/2021 13:51;Funciona correctamente
311;3392;adulto;OES 114;Genérico;Campo Dos;Fonendoscopio;22/03/2021;21/07/2021 16:10;Funciona correctamente
312;3434;adulto;Urgencias;Genérico;Arboledas;Fonendoscopio;22/03/2021;11/03/2021 14:39;Funciona correctamente
313;3480;adulto;Consulta Externa;Genérico;Villa Sucre;Fonendoscopio;25/03/2021;25/03/2021 12:14;Funciona correctamente
314;3481;adulto;Urgencias;Genérico;Villa Sucre;Fonendoscopio;25/03/2021;25/03/2021 12:14;Funciona correctamente
315;3108;MECANICO;Laboratorio;Genérico;Lourdes;Contador de Células;2/03/2021;23/04/2021 14:51;Equipo con selector de LYMPH dañado, presentas partes oxidadas
316;3409;MECANICO;Laboratorio;Genérico;Arboledas;Contador de Células;22/03/2021;11/03/2021 14:47;Funciona correctamente
317;2864;309;Laboratorio;Genérico;Villa Caro;Termohigrómetro;1/03/2021;23/02/2021 17:09;Funciona correctamente
318;3054;309;Laboratorio;Genérico;Santiago;Termohigrómetro;2/03/2021;29/04/2021 14:15;Funciona correctamente
;;;;;;;;;
;;;;;;;;;
"Equipo funcionando correctamente""";;;;;;;;;
324;209;SE-601;Recuperación;EDAN ;Pamplona;Electrocardiógrafo;11/12/2019;9/10/2020 17:25;Prueba con simulador ECG, Funciona correctamente.
325;209;SE-601;Recuperación;EDAN ;Pamplona;Electrocardiógrafo;11/12/2019;28/01/2021 9:41;Equipo funcionando correctamente
326;209;SE-601;Recuperación;EDAN ;Pamplona;Electrocardiógrafo;11/12/2019;27/07/2021 14:29;Equipo funcionando correctamente 
327;219;SE-601;Estación Enfermería;EDAN ;Pamplona;Electrocardiógrafo;11/12/2019;20/06/2020 9:12;Equipo funcionando correctamente. Fue reubicado a triage respiratorio
328;219;SE-601;Estación Enfermería;EDAN ;Pamplona;Electrocardiógrafo;11/12/2019;23/09/2020 19:39;Equipo en Triage Respiratorio
"Funcionando correctamente""";;;;;;;;;
329;725;SE-601;Procedimientos;EDAN ;Tibú;Electrocardiógrafo;24/01/2020;2/02/2020 14:46;Funciona correctamente 
